Country,Year,Rank,Adult_Mortality,url,Url
Haiti,2010,1,682,country_images/haiti.png,
Lesotho,2010,2,527,country_images/lesotho.png,
Zimbabwe,2010,3,527,country_images/zimbabwe.png,
Lesotho,2014,1,522,country_images/lesotho.png,
Lesotho,2013,1,518,country_images/lesotho.png,
Lesotho,2012,1,513,country_images/lesotho.png,
Lesotho,2015,1,484,country_images/lesotho.png,
Zimbabwe,2011,1,464,country_images/zimbabwe.png,
Sierra Leone,2014,2,463,country_images/sierra-leone.png,
Malawi,2010,4,462,country_images/malawi.png,
Swaziland,2010,5,459,country_images/swaziland.png,
Central African Republic,2013,2,451,country_images/central-african-republic.png,
Central African Republic,2010,6,446,country_images/central-african-republic.png,
Central African Republic,2011,2,443,country_images/central-african-republic.png,
Malawi,2011,3,441,country_images/malawi.png,
Central African Republic,2012,2,439,country_images/central-african-republic.png,
Swaziland,2011,4,438,country_images/swaziland.png,
Central African Republic,2014,3,437,country_images/central-african-republic.png,
Zimbabwe,2012,3,429,country_images/zimbabwe.png,
South Africa,2010,7,428,country_images/south-africa.png,
Sierra Leone,2010,8,424,country_images/sierra-leone.png,
Sierra Leone,2011,5,418,country_images/sierra-leone.png,
Sierra Leone,2015,2,413,country_images/sierra-leone.png,
South Africa,2011,6,413,country_images/south-africa.png,
Swaziland,2012,4,412,country_images/swaziland.png,
Sierra Leone,2012,5,411,country_images/sierra-leone.png,
Zimbabwe,2013,3,399,country_images/zimbabwe.png,
Central African Republic,2015,3,397,country_images/central-african-republic.png,
Malawi,2013,4,394,country_images/malawi.png,
Swaziland,2013,5,393,country_images/swaziland.png,
Swaziland,2014,4,382,country_images/swaziland.png,
Malawi,2014,5,377,country_images/malawi.png,
Swaziland,2015,4,373,country_images/swaziland.png,
South Africa,2013,6,371,country_images/south-africa.png,
Zimbabwe,2014,6,371,country_images/zimbabwe.png,
Malawi,2015,5,365,country_images/malawi.png,
South Africa,2014,7,347,country_images/south-africa.png,
Zimbabwe,2015,6,336,country_images/zimbabwe.png,
South Africa,2015,7,328,country_images/south-africa.png,
Haiti,2012,6,259,country_images/haiti.png,
Haiti,2011,7,259,country_images/haiti.png,
Haiti,2013,7,253,country_images/haiti.png,
Haiti,2014,8,245,country_images/haiti.png,
Lesotho,2011,8,52,country_images/lesotho.png,
South Africa,2012,7,48,country_images/south-africa.png,
Sierra Leone,2013,8,47,country_images/sierra-leone.png,
Malawi,2012,8,42,country_images/malawi.png,
Haiti,2015,8,24,country_images/haiti.png,
